sex,frontal_axis,vertical_axis,lateral_axis,sensor_id,RSSI,Phase,frequent,Label
1,0.27203,1.0082,-0.082102,1.0,-63.5,2.4252,924.25,1
1,0.27203,1.0082,-0.082102,1.0,-63.0,4.7369,921.75,1
1,0.44791,0.91636,-0.013684,1.0,-63.5,3.0311,923.75,1
1,0.44791,0.91636,-0.013684,1.0,-63.0,2.0371,921.25,1
1,0.34238,0.96229,-0.059296,1.0,-63.5,5.892,920.25,1
1,0.34238,0.96229,-0.059296,4.0,-56.5,1.2563,924.75,1
1,0.30721,0.99674,-0.070699,1.0,-63.5,3.8718,922.75,1
1,0.27203,0.99674,-0.093505,1.0,-64.0,2.4943,924.25,1
1,0.23685,1.0312,-0.12771,1.0,-64.5,2.008,924.75,1
1,0.23685,1.0312,-0.12771,1.0,-66.0,1.1904,925.75,1
1,0.23685,1.0312,-0.12771,1.0,-63.0,0.61206,922.75,1
1,0.23685,1.0312,-0.12771,1.0,-65.0,1.6506,925.25,1
1,0.31893,0.99674,-0.070699,1.0,-62.0,4.8075,921.75,1
1,0.31893,0.99674,-0.070699,4.0,-56.5,4.5252,924.75,1
1,0.47136,0.92784,-0.0022806,1.0,-62.5,3.8135,922.75,1
1,0.40101,0.93932,-0.025087,1.0,-64.0,2.413,924.25,1
1,0.40101,0.93932,-0.025087,1.0,-62.5,1.5309,921.75,1
1,0.40101,0.93932,-0.025087,1.0,-64.5,5.2247,924.75,1
1,0.40101,0.93932,-0.025087,4.0,-58.0,0.50468,925.75,1
1,0.30721,0.99674,-0.070699,1.0,-64.0,2.462,924.25,1
1,0.30721,0.99674,-0.070699,1.0,-63.0,5.9089,920.25,1
1,0.30721,0.99674,-0.070699,1.0,-64.0,1.9926,924.75,1
1,0.41273,0.93932,-0.0022806,1.0,-62.0,1.9221,921.25,1
1,0.27203,1.0082,-0.10491,4.0,-57.0,1.3714,924.75,1
1,0.27203,1.0082,-0.10491,1.0,-62.0,1.0845,922.25,1
1,0.24858,1.0312,-0.093505,1.0,-65.0,4.5697,925.25,1
1,0.2603,1.0197,-0.10491,1.0,-62.5,1.5064,921.75,1
1,0.31893,0.99674,-0.070699,1.0,-64.0,5.9963,923.75,1
1,0.31893,0.99674,-0.070699,1.0,-62.0,1.9205,921.25,1
1,0.31893,0.99674,-0.070699,1.0,-62.5,2.2764,920.75,1
1,0.43619,0.91636,0.0091224,1.0,-63.0,6.2663,923.25,1
1,0.47136,0.92784,0.020525,1.0,-64.0,2.8532,923.75,1
1,0.2134,1.0312,-0.12771,1.0,-64.5,4.9087,924.75,1
1,0.2134,1.0312,-0.12771,4.0,-57.5,0.54763,925.75,1
1,0.2134,1.0312,-0.12771,1.0,-63.5,5.7724,923.75,1
1,0.23685,1.0197,-0.10491,1.0,-62.5,5.6635,920.25,1
1,0.23685,1.0197,-0.10491,1.0,-62.0,4.8934,921.25,1
1,0.20168,1.0312,-0.11631,1.0,-62.5,0.84522,922.25,1
1,0.50654,0.91636,0.020525,1.0,-62.5,1.7518,921.25,1
1,0.50654,0.91636,0.020525,1.0,-62.0,5.3214,920.75,1
1,0.50654,0.91636,0.020525,1.0,-62.5,2.5541,920.25,1
1,0.50654,0.91636,0.020525,1.0,-63.0,6.2341,923.25,1
1,0.42446,0.91636,-0.0022806,1.0,-59.5,0.20555,923.75,1
1,0.42446,0.91636,-0.0022806,1.0,-58.5,1.2809,922.75,1
1,0.24858,1.0082,-0.16192,1.0,-59.5,6.2004,920.25,1
1,0.34238,0.97377,-0.047893,1.0,-59.5,1.3867,922.25,1
1,0.34238,0.97377,-0.047893,1.0,-61.5,6.2387,923.75,1
1,0.30721,0.97377,-0.03649,1.0,-63.0,1.7671,925.25,1
1,0.15478,1.0197,-0.13912,1.0,-61.5,2.6323,924.25,1
1,0.15478,1.0197,-0.13912,1.0,-60.0,1.8024,921.75,1
