BRANCH_COUNT,CALL_PAIRS,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,MAINTENANCE_SEVERITY,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUMBER_OF_LINES,LOC_TOTAL,Defective
0.012876,0.222222,0.012876,1,0.015873,1,0.045971,0,0,0.25,0.05041,0.173913,0.034011,0.034011,N
0.266094,0.555556,0.266094,1,0.291005,0.876404,0.23657,0,0,0.02,0.232122,0.565217,0.186083,0.186083,Y
0.04721,0.055556,0.04721,1,0.005291,0.067416,0.030992,0,0,0.08,0.028722,0.826087,0.019156,0.019156,Y
0.004292,0.388889,0.004292,1,0.005291,1,0.017045,0,0,0.5,0.018757,0.130435,0.017592,0.017592,Y
0,0,0,1,0,1,0.001033,0,0,1,0.001172,0,0.234558,0.234558,N
0.017167,0.055556,0.017167,1,0.005291,0.325843,0.012913,0,0,0.2,0.012309,0.521739,0.010946,0.010946,Y
0,0.111111,0,1,0,1,0.010331,0,0,1,0.011723,0.130435,0.008991,0.008991,Y
0,0,0,1,0,1,0.000517,0,0,1,0.000586,0.043478,0.026583,0.026583,N
0.060086,0.444444,0.060086,1,0.068783,0.921348,0.066632,0,0,0.07,0.067409,0.434783,0.051603,0.051603,Y
0.004292,0.388889,0.004292,1,0.005291,1,0.017562,0,0,0.5,0.019343,0.130435,0.017592,0.017592,Y
0,0,0,0,0,1,0.001033,0,0,1,0.001172,0,0.100078,0.100078,N
0.004292,0.777778,0.004292,0,0.005291,1,0.014979,0,0,0.5,0.016413,0.043478,0.065676,0.065676,N
0,0.111111,0,0,0,1,0.003616,0,0,1,0.004103,0.26087,0.001955,0.001955,N
0.072961,0.055556,0.072961,0,0.005291,0,0.046488,0,0,0.06,0.04279,1,0.026192,0.026192,N
1,1,1,0,0.730159,0.539326,0.96436,0,0,0,0.957796,0.565217,0.702502,0.702502,Y
0.055794,0.444444,0.055794,0,0.047619,0.674157,0.052686,0,0,0.07,0.052169,0.652174,0.030493,0.030493,Y
0.008584,0.5,0.008584,0,0.010582,1,0.02376,0,0,0.33,0.025791,0.173913,0.02502,0.02502,Y
0,0,0,0,0,1,0.00155,0,0,1,0.001758,0,0.801798,0.801798,N
0.025751,0.055556,0.025751,0,0.005291,0.202247,0.018079,0,0,0.14,0.016999,0.652174,0.013292,0.013292,Y
0.004292,0.055556,0.004292,0,0.005291,1,0.024277,0,0,0.5,0.026964,0.130435,0.020719,0.020719,Y
0.004292,0.222222,0.004292,0,0.005291,1,0.01343,0,0,0.5,0.014654,0.173913,0.013292,0.013292,Y
0,0,0,0,0,1,0.001033,0,0,1,0.001172,0.043478,0.05903,0.05903,N
0.060086,0.055556,0.060086,0,0.005291,0.022472,0.03874,0,0,0.07,0.035756,0.913043,0.022674,0.022674,N
0.030043,0.722222,0.030043,0,0.031746,0.865169,0.059401,0,0,0.13,0.063306,0.26087,0.048866,0.048866,Y
0.008584,0.555556,0.008584,0,0.010582,1,0.024793,0,0,0.33,0.026964,0.173913,0.026192,0.026192,Y
0,0,0,0,0,1,0.001033,0,0,1,0.001172,0,0.109851,0.109851,N
0.072961,0.055556,0.072961,0,0.005291,0,0.046488,0,0,0.06,0.04279,1,0.026192,0.026192,Y
0.270386,0.888889,0.270386,0,0.216931,0.617978,0.331095,0,0,0.02,0.338804,0.434783,0.242768,0.242768,Y
0,0.222222,0,0,0,1,0.013946,0,0,1,0.015826,0.086957,0.014073,0.014073,Y
0,0,0,0,0,1,0.001033,0,0,1,0.001172,0,0.295152,0.295152,N
0.021459,0.555556,0.021459,0,0.026455,1,0.02531,0,0,0.17,0.025791,0.478261,0.016419,0.016419,Y
0,0,0,0,0,1,0.002583,0,0,1,0.002931,0.26087,0.001173,0.001173,N
0.025751,0.444444,0.025751,0,0.031746,1,0.030992,0,0,0.14,0.031653,0.478261,0.019937,0.019937,Y
0.025751,0.444444,0.025751,0,0.026455,0.842697,0.027376,0,0,0.14,0.02755,0.086957,0.154027,0.154027,N
0,0.055556,0,0,0,1,0.00155,0,0,1,0.001758,0.043478,0.030493,0.030493,Y
0,0,0,0,0,1,0.002583,0,0,1,0.002931,0.173913,0.0043,0.0043,N
0.025751,0.555556,0.025751,0,0.031746,1,0.038223,0,0,0.14,0.039859,0.347826,0.029711,0.029711,N
0.06867,0.5,0.06867,0,0.058201,0.674157,0.072831,1,1,0.24,0.073271,0.434783,0.060985,0.060985,Y
0,0.055556,0,0,0,1,0.00155,0,0,1,0.001758,0.217391,0.002737,0.002737,N
0,0,0,0,0,1,0.000517,0,0,1,0.000586,0.043478,0.070367,0.070367,N
0.06867,0.611111,0.06867,0,0.068783,0.797753,0.072831,0,0,0.06,0.073271,0.304348,0.090696,0.090696,N
0.030043,0.222222,0.030043,0,0.005291,0.157303,0.024793,0,0,0.13,0.024033,0.695652,0.014464,0.014464,Y
0.04721,0.277778,0.04721,0,0.005291,0.067416,0.040289,0,0,0.08,0.039273,0.304348,0.05864,0.05864,Y
0.021459,0.166667,0.021459,0,0.015873,0.629213,0.018079,0,0,0.17,0.017585,0.217391,0.038311,0.038311,N
0.012876,0.5,0.012876,0,0.015873,1,0.016529,0,0,0.25,0.016999,0.304348,0.017592,0.017592,Y
0,0,0,0,0,1,0.002066,0,0,1,0.002345,0,0.153245,0.153245,N
0.004292,0.055556,0.004292,0,0.005291,1,0.004132,0,0,0.5,0.004103,0.608696,0.000391,0.000391,N
0.021459,0.333333,0.021459,0,0.005291,0.247191,0.033574,0,0,0.17,0.03517,0.217391,0.043393,0.043393,Y
0.008584,0.055556,0.008584,0,0.010582,1,0.005682,0,0,0.33,0.005275,0.347826,0.009773,0.009773,N
0,0,0,0,0,1,0,0,0,1,0,0.347826,0,0,N
0.008584,0.055556,0.008584,0,0.010582,1,0.009298,0,0,0.33,0.009379,0.217391,0.018374,0.018374,Y
0,0,0,0,0,1,0,0,0,1,0,0.130435,0.007819,0.007819,N
0.021459,0.222222,0.021459,0,0.015873,0.629213,0.017562,0,0,0.17,0.016999,0.26087,0.031665,0.031665,Y
0.004292,0.277778,0.004292,0,0.005291,1,0.010847,0,0,0.5,0.011723,0.043478,0.150899,0.150899,N
0,0.388889,0,0,0,1,0.008781,0,0,1,0.009965,0.043478,0.021892,0.021892,Y
0,0.055556,0,0,0,1,0.001033,0,0,1,0.001172,0.130435,0.006255,0.006255,Y
0,0.388889,0,0,0,1,0.009814,0,0,1,0.011137,0.043478,0.040266,0.040266,Y
0.008584,0.611111,0.008584,0,0.010582,1,0.016012,0,0,0.33,0.016999,0.043478,0.188428,0.188428,N
0.420601,0.555556,0.420601,0,0.518519,1,0.35124,0,0,0.01,0.341149,0.652174,0.257623,0.257623,Y
0.004292,0.388889,0.004292,0,0.005291,1,0.017045,0,0,0.5,0.018757,0.130435,0.017592,0.017592,Y
0,0,0,0,0,1,0.001033,0,0,1,0.001172,0,0.306489,0.306489,N
0.017167,0.055556,0.017167,0,0.005291,0.325843,0.012913,0,0,0.2,0.012309,0.521739,0.010946,0.010946,Y
0,0.111111,0,0,0,1,0.009298,0,0,1,0.010551,0.130435,0.00821,0.00821,Y
0,0,0,0,0,1,0.000517,0,0,1,0.000586,0.043478,0.025801,0.025801,N
0.04721,0.5,0.04721,0,0.058201,1,0.060434,0,0,0.08,0.062134,0.434783,0.043393,0.043393,Y
0.004292,0.388889,0.004292,0,0.005291,1,0.017562,0,0,0.5,0.019343,0.130435,0.017592,0.017592,Y
0,0,0,0,0,1,0.001033,0,0,1,0.001172,0,0.091869,0.091869,N
0,0.166667,0,0,0,1,0.030992,0,0,1,0.03517,0.043478,0.026192,0.026192,N
0,0,0,0,0,1,0,0,0,1,0,0.043478,0.027365,0.027365,N
0.034335,0.5,0.034335,0,0.037037,0.876404,0.063533,0,0,0.11,0.067409,0.304348,0.046521,0.046521,Y
0.004292,0.444444,0.004292,0,0.005291,1,0.018079,0,0,0.5,0.01993,0.130435,0.017983,0.017983,N
0,0,0,0,0,1,0.001033,0,0,1,0.001172,0,0.095387,0.095387,N
0.042918,0.444444,0.042918,0,0.042328,0.797753,0.069215,0,0,0.09,0.072685,0.217391,0.078186,0.078186,Y
0.004292,0.388889,0.004292,0,0.005291,1,0.018079,0,0,0.5,0.01993,0.130435,0.017983,0.017983,Y
0,0,0,0,0,1,0.001033,0,0,1,0.001172,0,0.127052,0.127052,N
0.017167,0.388889,0.017167,0,0.015873,0.775281,0.023244,0,0,0.2,0.024033,0.304348,0.022674,0.022674,Y
0,0.111111,0,0,0,1,0.002583,0,0,1,0.002931,0.217391,0.003518,0.003518,N
0,0,0,0,0,1,0.000517,0,0,1,0.000586,0.043478,0.032447,0.032447,N
0,0,0,0,0,1,0,0,0,1,0,0.217391,0.002346,0.002346,N
0,0.111111,0,0,0,1,0.002583,0,0,1,0.002931,0.217391,0.003518,0.003518,N
0,0,0,0,0,1,0.000517,0,0,1,0.000586,0.086957,0.012119,0.012119,N
0.012876,0.5,0.012876,0,0.015873,1,0.018595,0,0,0.25,0.019343,0.347826,0.014464,0.014464,Y
0,0.111111,0,0,0,1,0.002583,0,0,1,0.002931,0.217391,0.003518,0.003518,N
0,0,0,0,0,1,0.000517,0,0,1,0.000586,0.043478,0.024629,0.024629,N
0.012876,0.055556,0.012876,0,0,0.157303,0.016012,0,0,0.25,0.016413,0.521739,0.00821,0.00821,N
0,0.388889,0,0,0,1,0.018595,0,0,1,0.021102,0.043478,0.023456,0.023456,N
0.004292,0.388889,0.004292,0,0.005291,1,0.010847,0,0,0.5,0.011723,0.043478,0.073886,0.073886,Y
0.008584,0.388889,0.008584,0,0.005291,0.629213,0.025826,0,0,0.33,0.028136,0.130435,0.032447,0.032447,Y
0.008584,0.388889,0.008584,0,0.005291,0.629213,0.026343,0,0,0.33,0.028722,0.130435,0.040266,0.040266,N
0.008584,0.388889,0.008584,0,0.010582,1,0.028409,0,0,0.33,0.031067,0.086957,0.062549,0.062549,N
0.012876,0.5,0.012876,0,0.015873,1,0.017562,0,0,0.25,0.018171,0.043478,0.242377,0.242377,N
0.077253,0.666667,0.077253,0,0.063492,0.640449,0.092459,0,0,0.05,0.094373,0.434783,0.070758,0.070758,Y
0.004292,0.444444,0.004292,0,0.005291,1,0.018079,0,0,0.5,0.01993,0.130435,0.018765,0.018765,Y
0,0,0,0,0,1,0.00155,0,0,1,0.001758,0,0.128225,0.128225,N
0.004292,0,0.004292,0,0.005291,1,0.004649,0,0,0.5,0.004689,0.478261,0.001955,0.001955,N
0.017167,0.055556,0.017167,0,0.005291,0.325843,0.012913,0,0,0.2,0.012309,0.521739,0.010946,0.010946,Y
0.030043,0.166667,0.030043,0,0,0.022472,0.035124,0,0,0.13,0.035756,0.434783,0.02502,0.02502,Y
0,0,0,0,0,1,0.000517,0,0,1,0.000586,0.043478,0.042611,0.042611,N
0.017167,0.055556,0.017167,0,0.005291,0.325843,0.01343,0,0,0.2,0.012896,0.521739,0.011337,0.011337,N
0.030043,0.388889,0.030043,0,0,0.022472,0.040806,0,0,0.13,0.042204,0.347826,0.032447,0.032447,Y
0,0,0,0,0,1,0.000517,0,0,1,0.000586,0.043478,0.05043,0.05043,N
0,0.055556,0,0,0,1,0.038223,0,0,1,0.043376,0.043478,0.026192,0.026192,N
0.107296,0.555556,0.107296,0,0.100529,0.741573,0.118285,0,0,0.04,0.119578,0.478261,0.08405,0.08405,Y
0.004292,0.444444,0.004292,0,0.005291,1,0.018079,0,0,0.5,0.01993,0.130435,0.017983,0.017983,Y
0,0,0,0,0,1,0.001033,0,0,1,0.001172,0,0.132916,0.132916,N
0.017167,0.5,0.017167,0,0.021164,1,0.032541,0,0,0.2,0.034584,0.26087,0.025801,0.025801,N
0.072961,0.055556,0.072961,0,0.005291,0,0.045971,0,0,0.06,0.042204,1,0.02541,0.02541,Y
0.021459,0.666667,0.021459,0,0.026455,1,0.039256,0,0,0.17,0.041618,0.217391,0.038702,0.038702,Y
0,0,0,0,0,1,0.002066,0,0,1,0.002345,0,1,1,Y
0.987124,1,0.987124,0,1,0.797753,1,0,0,0,1,0.565217,0.711102,0.711102,Y
0.206009,0.555556,0.206009,0,0.243386,0.955056,0.23657,0,0,0.02,0.240328,0.478261,0.175919,0.175919,Y
0.008584,0.388889,0.008584,0,0.010582,1,0.007748,0,0,0.33,0.00762,0.652174,0.002737,0.002737,N
0.012876,0.388889,0.012876,0,0.015873,1,0.016529,0,0,0.25,0.016999,0.304348,0.016419,0.016419,N
0,0,0,0,0,1,0.00155,0,0,1,0.001758,0.043478,0.04222,0.04222,N
0.008584,0.388889,0.008584,0,0.010582,1,0.007748,0,0,0.33,0.00762,0.652174,0.002737,0.002737,N
0.008584,0.388889,0.008584,0,0.010582,1,0.007748,0,0,0.33,0.00762,0.652174,0.002737,0.002737,N
0,0.111111,0,0,0,1,0.002583,0,0,1,0.002931,0.217391,0.003518,0.003518,Y
0,0,0,0,0,1,0.000517,0,0,1,0.000586,0.043478,0.030884,0.030884,N
0.017167,0.5,0.017167,0,0.015873,0.775281,0.020145,0,0,0.2,0.020516,0.347826,0.020719,0.020719,Y
0,0.055556,0,0,0,1,0.002066,0,0,1,0.002345,0.086957,0.010946,0.010946,Y
0.004292,0.388889,0.004292,0,0.005291,1,0.016529,0,0,0.5,0.018171,0.043478,0.053948,0.053948,N
0.051502,0.055556,0.051502,0,0.005291,0.044944,0.033058,0,0,0.08,0.030481,0.869565,0.019937,0.019937,Y
0.004292,0.444444,0.004292,0,0.005291,1,0.018079,0,0,0.5,0.01993,0.130435,0.017983,0.017983,N
0,0,0,0,0,1,0.001033,0,0,1,0.001172,0,0.074668,0.074668,N
0.021459,0.444444,0.021459,0,0.026455,1,0.035124,0,0,0.17,0.036928,0.347826,0.024629,0.024629,Y
